,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0,964.0,991.0,1066.0,964.0
1,896.0,953.0,983.0,896.0
2,912.0,933.0,987.0,912.0
3,887.0,929.0,980.0,887.0
4,943.0,970.0,1060.0,943.0
5,965.0,995.0,1064.0,965.0
6,890.0,935.0,980.0,890.0
7,935.0,974.0,1052.0,935.0
8,888.0,939.0,981.0,888.0
9,911.0,959.0,1046.0,911.0
10,872.0,914.0,968.0,872.0
11,930.0,969.0,1053.0,930.0
12,961.0,997.0,1066.0,961.0
13,904.0,976.0,1039.0,904.0
14,842.0,896.0,956.0,842.0
15,914.0,965.0,995.0,914.0
16,896.0,947.0,986.0,896.0
17,894.0,942.0,984.0,894.0
18,907.0,964.0,991.0,907.0
19,862.0,919.0,967.0,862.0
20,854.0,914.0,962.0,854.0
21,894.0,924.0,984.0,894.0
22,829.0,904.0,946.0,829.0
23,891.0,921.0,978.0,891.0
24,923.0,965.0,995.0,923.0
25,947.0,980.0,1058.0,947.0
26,953.0,995.0,1064.0,953.0
27,922.0,949.0,997.0,922.0
28,878.0,932.0,977.0,878.0
29,872.0,917.0,974.0,872.0
30,882.0,921.0,972.0,882.0
31,801.0,891.0,939.0,801.0
32,950.0,992.0,1058.0,950.0
33,952.0,994.0,1063.0,952.0
34,947.0,992.0,1064.0,947.0
35,932.0,968.0,1046.0,932.0
36,842.0,890.0,956.0,842.0
37,915.0,951.0,993.0,915.0
38,896.0,941.0,983.0,896.0
39,863.0,923.0,971.0,863.0
40,870.0,915.0,969.0,870.0
41,962.0,989.0,1067.0,962.0
42,890.0,953.0,980.0,890.0
43,902.0,926.0,989.0,902.0
44,864.0,900.0,966.0,864.0
45,928.0,964.0,1000.0,928.0
46,839.0,929.0,956.0,839.0
47,939.0,966.0,1053.0,939.0
48,884.0,935.0,980.0,884.0
49,889.0,952.0,985.0,889.0
50,863.0,899.0,965.0,863.0
51,861.0,915.0,966.0,861.0
52,920.0,968.0,995.0,920.0
53,964.0,991.0,1066.0,964.0
54,870.0,930.0,972.0,870.0
55,842.0,896.0,956.0,842.0
56,947.0,965.0,1007.0,947.0
57,945.0,987.0,1059.0,945.0
58,909.0,957.0,990.0,909.0
59,887.0,929.0,980.0,887.0
60,880.0,922.0,976.0,880.0
61,916.0,949.0,991.0,916.0
62,900.0,951.0,987.0,900.0
63,1012.0,1036.0,1090.0,1012.0
64,897.0,939.0,987.0,897.0
65,953.0,992.0,1061.0,953.0
66,875.0,950.0,977.0,875.0
67,798.0,861.0,930.0,798.0
68,908.0,968.0,1040.0,908.0
69,875.0,935.0,974.0,875.0
70,963.0,996.0,1068.0,963.0
71,830.0,884.0,947.0,830.0
72,961.0,994.0,1066.0,961.0
73,873.0,936.0,972.0,873.0
74,957.0,993.0,1065.0,957.0
75,827.0,920.0,947.0,827.0
76,902.0,962.0,989.0,902.0
77,892.0,922.0,979.0,892.0
78,957.0,987.0,1068.0,957.0
79,830.0,887.0,947.0,830.0
80,904.0,952.0,991.0,904.0
81,940.0,982.0,1057.0,940.0
82,900.0,945.0,987.0,900.0
83,898.0,925.0,988.0,898.0
84,859.0,916.0,967.0,859.0
85,867.0,912.0,969.0,867.0
86,893.0,941.0,980.0,893.0
87,931.0,961.0,1054.0,931.0
88,1004.0,1037.0,1091.0,1004.0
89,967.0,997.0,1069.0,967.0
90,911.0,962.0,992.0,911.0
91,785.0,866.0,926.0,785.0
92,943.0,982.0,1054.0,943.0
93,807.0,852.0,939.0,807.0
94,945.0,972.0,1056.0,945.0
95,905.0,965.0,995.0,905.0
96,961.0,985.0,1066.0,961.0
97,912.0,921.0,990.0,912.0
98,900.0,951.0,993.0,900.0
99,931.0,964.0,1000.0,931.0
100,902.6,947.69,1003.1,902.6
