,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,3801.0,4005.0,4416.0,4416.0
1,3664.0,3913.0,4156.0,4156.0
2,3686.0,3956.0,4157.0,4157.0
3,3862.0,4063.0,4252.0,4252.0
4,3641.0,3980.0,4142.0,4142.0
5,3737.0,4043.0,4388.0,4388.0
6,3771.0,4017.0,4206.0,4206.0
7,3740.0,4019.0,4187.0,4187.0
8,3938.0,4157.0,4490.0,4490.0
9,3838.0,4036.0,4426.0,4426.0
10,3801.0,4029.0,4218.0,4218.0
11,3720.0,4017.0,4383.0,4383.0
12,3818.0,4025.0,4418.0,4418.0
13,3713.0,3968.0,4181.0,4181.0
14,3751.0,4048.0,4393.0,4393.0
15,3677.0,3983.0,4160.0,4160.0
16,3855.0,4110.0,4455.0,4455.0
17,3768.0,3966.0,4203.0,4203.0
18,3821.0,4025.0,4430.0,4430.0
19,3921.0,4122.0,4467.0,4467.0
20,3803.0,4040.0,4421.0,4421.0
21,3628.0,3916.0,4135.0,4135.0
22,3838.0,4087.0,4444.0,4444.0
23,3842.0,4073.0,4436.0,4436.0
24,3656.0,3920.0,4142.0,4142.0
25,3942.0,4185.0,4485.0,4485.0
26,3886.0,4099.0,4459.0,4459.0
27,3654.0,3963.0,4152.0,4152.0
28,3759.0,4050.0,4398.0,4398.0
29,3743.0,3968.0,4193.0,4193.0
30,3854.0,4076.0,4451.0,4451.0
31,3678.0,3957.0,4167.0,4167.0
32,3861.0,4080.0,4458.0,4458.0
33,3755.0,4028.0,4199.0,4199.0
34,3675.0,3957.0,4152.0,4152.0
35,3950.0,4136.0,4481.0,4481.0
36,4006.0,4147.0,4516.0,4516.0
37,3822.0,4035.0,4425.0,4425.0
38,3857.0,4079.0,4442.0,4442.0
39,3764.0,4016.0,4202.0,4202.0
40,3964.0,4120.0,4498.0,4498.0
41,3621.0,3921.0,4134.0,4134.0
42,3871.0,4072.0,4450.0,4450.0
43,3936.0,4170.0,4482.0,4482.0
44,3884.0,4118.0,4457.0,4457.0
45,3830.0,4064.0,4427.0,4427.0
46,3903.0,4107.0,4476.0,4476.0
47,3818.0,4082.0,4430.0,4430.0
48,3863.0,4064.0,4445.0,4445.0
49,3792.0,4041.0,4419.0,4419.0
50,3947.0,4148.0,4490.0,4490.0
51,3641.0,3953.0,4145.0,4145.0
52,3937.0,4105.0,4468.0,4468.0
53,3702.0,4008.0,4179.0,4179.0
54,3808.0,4060.0,4426.0,4426.0
55,3899.0,4127.0,4466.0,4466.0
56,3600.0,3894.0,4128.0,4128.0
57,3718.0,3967.0,4381.0,4381.0
58,3723.0,3987.0,4185.0,4185.0
59,3678.0,3915.0,4155.0,4155.0
60,3753.0,3996.0,4203.0,4203.0
61,3707.0,3959.0,4172.0,4172.0
62,3881.0,4130.0,4466.0,4466.0
63,3799.0,4045.0,4222.0,4222.0
64,3818.0,4091.0,4430.0,4430.0
65,3855.0,4101.0,4449.0,4449.0
66,3770.0,4052.0,4403.0,4403.0
67,3956.0,4151.0,4490.0,4490.0
68,3988.0,4183.0,4510.0,4510.0
69,3781.0,4036.0,4405.0,4405.0
70,3937.0,4150.0,4480.0,4480.0
71,3619.0,3931.0,4123.0,4123.0
72,3972.0,4143.0,4494.0,4494.0
73,3922.0,4102.0,4471.0,4471.0
74,3741.0,4014.0,4191.0,4191.0
75,3756.0,3996.0,4398.0,4398.0
76,3863.0,4091.0,4451.0,4451.0
77,3816.0,4023.0,4212.0,4212.0
78,3895.0,4081.0,4465.0,4465.0
79,3673.0,3934.0,4159.0,4159.0
80,3747.0,4050.0,4398.0,4398.0
81,3833.0,4103.0,4436.0,4436.0
82,3885.0,4083.0,4461.0,4461.0
83,3890.0,4091.0,4460.0,4460.0
84,3736.0,3967.0,4192.0,4192.0
85,3749.0,3968.0,4199.0,4199.0
86,3883.0,4114.0,4459.0,4459.0
87,3878.0,4112.0,4457.0,4457.0
88,3694.0,3970.0,4177.0,4177.0
89,3814.0,4096.0,4426.0,4426.0
90,3789.0,3999.0,4209.0,4209.0
91,3770.0,4028.0,4196.0,4196.0
92,3721.0,3991.0,4378.0,4378.0
93,3795.0,4026.0,4224.0,4224.0
94,3668.0,3947.0,4160.0,4160.0
95,3839.0,4061.0,4433.0,4433.0
96,3824.0,4037.0,4433.0,4433.0
97,3876.0,4119.0,4458.0,4458.0
98,3929.0,4178.0,4481.0,4481.0
99,3843.0,4026.0,4242.0,4242.0
100,3802.96,4043.92,4342.0,4342.0
