Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixedArith
0.0,6680.0,7064.0,7484.0,12977.0
1.0,6825.0,7200.0,7557.0,12983.0
2.0,6451.0,6892.0,7354.0,12916.0
3.0,6730.0,7126.0,7516.0,13027.0
4.0,6700.0,7147.0,7504.0,12988.0
5.0,6805.0,7180.0,7546.0,12884.0
6.0,6724.0,7153.0,7510.0,13033.0
7.0,6796.0,7156.0,7546.0,12997.0
8.0,6717.0,7125.0,7509.0,12956.0
9.0,6622.0,7105.0,7471.0,12976.0
10.0,6732.0,7167.0,7518.0,12929.0
11.0,6835.0,7210.0,7579.0,12921.0
12.0,6809.0,7142.0,7556.0,12902.0
13.0,6834.0,7167.0,7578.0,12856.0
14.0,6580.0,7009.0,7432.0,13013.0
15.0,6545.0,7019.0,7433.0,12953.0
16.0,6841.0,7219.0,7570.0,13014.0
17.0,6781.0,7201.0,7540.0,13018.0
18.0,6930.0,7260.0,7632.0,13088.0
19.0,6707.0,7157.0,7517.0,12874.0
20.0,6605.0,7079.0,7463.0,12967.0
21.0,6733.0,7144.0,7513.0,12931.0
22.0,6861.0,7251.0,7569.0,12907.0
23.0,6734.0,7145.0,7517.0,12963.0
24.0,6706.0,7105.0,7498.0,13002.0
25.0,6562.0,6994.0,7426.0,13049.0
26.0,6759.0,7083.0,7518.0,12893.0
27.0,6775.0,7165.0,7543.0,12939.0
28.0,6790.0,7219.0,7555.0,13030.0
29.0,6463.0,6976.0,7393.0,12979.0
30.0,6672.0,7077.0,7488.0,13034.0
31.0,6735.0,7131.0,7521.0,12809.0
32.0,6621.0,7026.0,7467.0,12931.0
33.0,6890.0,7229.0,7595.0,12951.0
34.0,6603.0,7101.0,7461.0,12981.0
35.0,6577.0,7066.0,7447.0,12950.0
36.0,6762.0,7212.0,7539.0,12888.0
37.0,6904.0,7216.0,7603.0,12979.0
38.0,6822.0,7200.0,7578.0,12959.0
39.0,6845.0,7244.0,7574.0,12971.0
40.0,6944.0,7307.0,7628.0,12908.0
41.0,6838.0,7180.0,7579.0,13018.0
42.0,6735.0,7122.0,7509.0,13096.0
43.0,6798.0,7158.0,7557.0,12898.0
44.0,6650.0,7037.0,7478.0,12975.0
45.0,6720.0,7134.0,7509.0,12927.0
46.0,6792.0,7170.0,7560.0,13042.0
47.0,6694.0,7063.0,7504.0,12870.0
48.0,6870.0,7272.0,7590.0,12872.0
49.0,6637.0,7090.0,7477.0,12948.0
50.0,6762.0,7206.0,7539.0,12959.0
51.0,6797.0,7157.0,7544.0,12995.0
52.0,6814.0,7216.0,7564.0,12932.0
53.0,6963.0,7356.0,7641.0,12816.0
54.0,6763.0,7120.0,7528.0,12888.0
55.0,6781.0,7186.0,7537.0,12908.0
56.0,6882.0,7239.0,7593.0,12980.0
57.0,6975.0,7293.0,7638.0,12901.0
58.0,6812.0,7208.0,7565.0,12937.0
59.0,6736.0,7117.0,7507.0,12928.0
60.0,6847.0,7279.0,7582.0,12948.0
61.0,6793.0,7159.0,7540.0,13021.0
62.0,6888.0,7245.0,7590.0,13067.0
63.0,6686.0,7049.0,7496.0,12975.0
64.0,6876.0,7275.0,7587.0,12915.0
65.0,6551.0,7019.0,7436.0,12933.0
66.0,6619.0,7048.0,7456.0,12869.0
67.0,6907.0,7300.0,7615.0,12982.0
68.0,6769.0,7162.0,7534.0,12975.0
69.0,6826.0,7207.0,7573.0,13010.0
70.0,6628.0,7066.0,7480.0,12940.0
71.0,6434.0,6941.0,7367.0,13092.0
72.0,6715.0,7165.0,7513.0,12870.0
73.0,6730.0,7102.0,7522.0,13036.0
74.0,6615.0,7077.0,7464.0,13014.0
75.0,6886.0,7240.0,7603.0,12968.0
76.0,6717.0,7161.0,7509.0,12909.0
77.0,6754.0,7207.0,7534.0,13008.0
78.0,6972.0,7329.0,7641.0,12943.0
79.0,6506.0,6974.0,7406.0,13030.0
80.0,6865.0,7231.0,7579.0,12901.0
81.0,6696.0,7131.0,7497.0,13035.0
82.0,6924.0,7245.0,7620.0,12908.0
83.0,6697.0,7138.0,7501.0,12968.0
84.0,6751.0,7219.0,7531.0,13054.0
85.0,6785.0,7190.0,7547.0,13044.0
86.0,6701.0,7148.0,7511.0,12941.0
87.0,6678.0,7134.0,7491.0,12936.0
88.0,6562.0,7036.0,7438.0,13062.0
89.0,6722.0,7079.0,7505.0,12999.0
90.0,6738.0,7137.0,7518.0,13026.0
91.0,6734.0,7181.0,7529.0,12940.0
92.0,6688.0,7123.0,7501.0,12896.0
93.0,6889.0,7249.0,7585.0,13020.0
94.0,6804.0,7248.0,7563.0,13031.0
95.0,6768.0,7134.0,7542.0,12943.0
96.0,6916.0,7279.0,7615.0,12917.0
97.0,6751.0,7120.0,7534.0,12992.0
98.0,6610.0,7096.0,7468.0,12996.0
99.0,6872.0,7241.0,7589.0,12961.0
100.0,6750.6138613861385,7154.811881188119,7528.742574257426, 12962.91
