,fixed32bit
1,1246.0
2,1263.0
3,1258.0
4,1235.0
5,1232.0
6,1236.0
7,1236.0
8,1252.0
9,1224.0
10,1255.0
11,1290.0
12,1262.0
13,1232.0
14,1246.0
15,1232.0
16,1257.0
17,1253.0
18,1254.0
19,1226.0
20,1253.0
21,1235.0
22,1258.0
23,1252.0
24,1266.0
25,1236.0
26,1257.0
27,1277.0
28,1249.0
29,1250.0
30,1258.0
31,1262.0
32,1224.0
33,1244.0
34,1280.0
35,1242.0
36,1245.0
37,1268.0
38,1239.0
39,1227.0
40,1252.0
41,1266.0
42,1254.0
43,1217.0
44,1233.0
45,1215.0
46,1278.0
47,1278.0
48,1262.0
49,1215.0
50,1255.0
51,1222.0
52,1257.0
53,1238.0
54,1257.0
55,1244.0
56,1212.0
57,1256.0
58,1271.0
59,1237.0
60,1224.0
61,1265.0
62,1243.0
63,1240.0
64,1225.0
65,1238.0
66,1250.0
67,1251.0
68,1258.0
69,1234.0
70,1224.0
71,1259.0
72,1229.0
73,1221.0
74,1246.0
75,1257.0
76,1236.0
77,1235.0
78,1262.0
79,1214.0
80,1249.0
81,1261.0
82,1277.0
83,1228.0
84,1246.0
85,1244.0
86,1248.0
87,1231.0
88,1231.0
89,1264.0
90,1267.0
91,1243.0
92,1262.0
93,1287.0
94,1234.0
95,1251.0
96,1274.0
97,1261.0
98,1272.0
99,1246.0
100,1247.42
