Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,4176.0,4422.0,4791.0,8802.0
1,4310.0,4532.0,4859.0,8747.0
2,4097.0,4355.0,4745.0,8799.0
3,4127.0,4388.0,4757.0,8783.0
4,4130.0,4382.0,4760.0,8814.0
5,4085.0,4358.0,4745.0,8826.0
6,4006.0,4315.0,4702.0,8656.0
7,4108.0,4405.0,4753.0,8738.0
8,4090.0,4336.0,4741.0,8744.0
9,3978.0,4272.0,4683.0,8766.0
10,4022.0,4343.0,4718.0,8750.0
11,4088.0,4325.0,4736.0,8787.0
12,4020.0,4362.0,4719.0,8741.0
13,4132.0,4390.0,4759.0,8861.0
14,4009.0,4258.0,4699.0,8730.0
15,4061.0,4340.0,4739.0,8839.0
16,4132.0,4381.0,4756.0,8789.0
17,4056.0,4317.0,4731.0,8774.0
18,4117.0,4393.0,4756.0,8835.0
19,4082.0,4322.0,4730.0,8806.0
20,4113.0,4368.0,4755.0,8734.0
21,4142.0,4397.0,4772.0,8802.0
22,4072.0,4375.0,4732.0,8852.0
23,4097.0,4406.0,4757.0,8769.0
24,4153.0,4366.0,4777.0,8745.0
25,4133.0,4397.0,4760.0,8625.0
26,4099.0,4369.0,4744.0,8876.0
27,4217.0,4478.0,4802.0,8770.0
28,4218.0,4467.0,4797.0,8745.0
29,4023.0,4371.0,4719.0,8710.0
30,4067.0,4316.0,4721.0,8741.0
31,4263.0,4476.0,4830.0,8799.0
32,4188.0,4425.0,4782.0,8779.0
33,4252.0,4483.0,4825.0,8735.0
34,4204.0,4393.0,4801.0,8789.0
35,4167.0,4440.0,4779.0,8820.0
36,4236.0,4458.0,4815.0,8736.0
37,3995.0,4307.0,4697.0,8754.0
38,4144.0,4453.0,4777.0,8699.0
39,4254.0,4482.0,4827.0,8712.0
40,4020.0,4302.0,4497.0,8715.0
41,4288.0,4471.0,4840.0,8656.0
42,4156.0,4408.0,4774.0,8828.0
43,4270.0,4513.0,4837.0,8719.0
44,4180.0,4411.0,4789.0,8894.0
45,4121.0,4391.0,4760.0,8788.0
46,4166.0,4466.0,4796.0,8735.0
47,4098.0,4407.0,4743.0,8806.0
48,4045.0,4345.0,4720.0,8786.0
49,4097.0,4364.0,4751.0,8651.0
50,4126.0,4465.0,4774.0,8784.0
51,4108.0,4357.0,4753.0,8797.0
52,4050.0,4365.0,4728.0,8808.0
53,4096.0,4372.0,4750.0,8733.0
54,3980.0,4292.0,4688.0,8788.0
55,4082.0,4406.0,4748.0,8723.0
56,4183.0,4423.0,4789.0,8846.0
57,4132.0,4390.0,4768.0,8846.0
58,4072.0,4339.0,4729.0,8862.0
59,4138.0,4393.0,4768.0,8728.0
60,4083.0,4419.0,4749.0,8773.0
61,4181.0,4430.0,4790.0,8801.0
62,4072.0,4345.0,4741.0,8760.0
63,4163.0,4430.0,4784.0,8769.0
64,4023.0,4287.0,4494.0,8712.0
65,3975.0,4257.0,4689.0,8781.0
66,4177.0,4438.0,4783.0,8759.0
67,4165.0,4411.0,4786.0,8739.0
68,4053.0,4365.0,4734.0,8867.0
69,4148.0,4439.0,4775.0,8767.0
70,4272.0,4515.0,4833.0,8742.0
71,4166.0,4475.0,4790.0,8769.0
72,4033.0,4393.0,4723.0,8759.0
73,4123.0,4372.0,4759.0,8778.0
74,4081.0,4363.0,4744.0,8758.0
75,4279.0,4477.0,4831.0,8756.0
76,4103.0,4406.0,4754.0,8750.0
77,4142.0,4328.0,4775.0,8785.0
78,4359.0,4554.0,4872.0,8646.0
79,4011.0,4323.0,4701.0,8807.0
80,4207.0,4447.0,4798.0,8766.0
81,4085.0,4397.0,4742.0,8832.0
82,4167.0,4443.0,4788.0,8694.0
83,4180.0,4450.0,4792.0,8784.0
84,4138.0,4426.0,4768.0,8765.0
85,4114.0,4375.0,4759.0,8705.0
86,4106.0,4331.0,4754.0,8867.0
87,4037.0,4334.0,4715.0,8817.0
88,4153.0,4357.0,4774.0,8832.0
89,4150.0,4381.0,4768.0,8777.0
90,4256.0,4517.0,4826.0,8777.0
91,4157.0,4406.0,4775.0,8816.0
92,4128.0,4422.0,4761.0,8811.0
93,4259.0,4514.0,4823.0,8742.0
94,4314.0,4503.0,4860.0,8769.0
95,4220.0,4484.0,4808.0,8711.0
96,4272.0,4530.0,4833.0,8725.0
97,4199.0,4385.0,4796.0,8807.0
98,3932.0,4247.0,4667.0,8737.0
99,4150.0,4402.0,4780.0,8777.0
100,4131.04,4396.81,4760.44,8770.61
